Date,S,E,I,R,Incidence
13/03/2020,528,0,0,0,0
14/03/2020,527,1,0,0,0
15/03/2020,527,1,0,0,0
16/03/2020,527,1,0,0,0
17/03/2020,527,1,0,0,0
18/03/2020,527,1,0,0,0
19/03/2020,527,1,0,0,0
20/03/2020,527,0,1,0,1
21/03/2020,527,0,1,0,0
22/03/2020,527,0,1,0,0
23/03/2020,527,0,1,0,0
24/03/2020,527,0,1,0,0
25/03/2020,527,0,1,0,0
26/03/2020,527,0,1,0,0
27/03/2020,527,0,1,0,0
28/03/2020,498,0,30,0,29
29/03/2020,498,0,30,0,0
30/03/2020,498,0,11,19,0
31/03/2020,498,0,7,23,0
01/04/2020,493,0,6,29,0
02/04/2020,493,0,6,29,0
03/04/2020,493,0,6,29,0
04/04/2020,493,0,5,30,0
05/04/2020,493,0,3,32,0
06/04/2020,493,0,1,34,0
07/04/2020,493,0,0,35,0
08/04/2020,483,0,10,35,10
09/04/2020,483,0,10,35,0
10/04/2020,483,0,0,45,0
11/04/2020,481,0,2,45,2
12/04/2020,481,0,1,46,0
13/04/2020,481,0,0,47,0
14/04/2020,481,0,0,47,0
15/04/2020,481,0,0,47,0
16/04/2020,481,0,0,47,0
17/04/2020,480,0,1,47,1
18/04/2020,480,0,0,48,0
19/04/2020,480,0,0,48,0
20/04/2020,480,0,0,48,0
21/04/2020,480,0,0,48,0
22/04/2020,480,0,0,48,0
23/04/2020,480,0,0,48,0
24/04/2020,480,0,0,48,0
25/04/2020,480,0,0,48,0
26/04/2020,480,0,0,48,0
27/04/2020,480,0,0,48,0
28/04/2020,480,0,0,48,0
29/04/2020,480,0,0,48,0
30/04/2020,480,0,0,48,0
01/05/2020,480,0,0,48,0
02/05/2020,480,0,0,48,0
03/05/2020,480,0,0,48,0
04/05/2020,480,0,0,48,0
05/05/2020,480,0,0,48,0
06/05/2020,480,0,0,48,0
07/05/2020,480,0,0,48,0
08/05/2020,480,0,0,48,0
09/05/2020,480,0,0,48,0
10/05/2020,480,0,0,48,0
11/05/2020,480,0,0,48,0
12/05/2020,480,0,0,48,0
